dataset,treatment,budget,time
SS-B,rand,40,0.6479
SS-B,rand,9,0.4265
SS-B,SimAnnealing,15,33.1542
SS-B,SimAnnealing,40,68.2496
SS-B,SimAnnealing,9,23.0963
SS-B,UCB,15,96.768
SS-B,UCB,40,225.6364
SS-B,UCB,9,54.036
SS-D,b2,15,27.1067
SS-D,b2,40,63.2688
SS-D,b2,9,17.1268
SS-D,base,,0.4299
SS-D,bonr,15,29.1266
SS-D,bonr,40,64.5708
SS-D,bonr,9,19.4001
SS-D,EI,15,103.6508
SS-D,EI,40,218.4571
SS-D,EI,9,60.6686
SS-D,ExpProgressive,15,37.0083
SS-D,ExpProgressive,40,77.5865
SS-D,ExpProgressive,9,27.5633
SS-D,PI,15,101.336
SS-D,PI,40,227.9602
SS-D,PI,9,54.2631
SS-D,progressive,15,42.4586
SS-D,progressive,40,81.5423
SS-D,progressive,9,33.8711
SS-D,rand,15,0.4349
SS-D,rand,40,0.4671
SS-D,rand,9,0.4338
SS-D,SimAnnealing,15,32.4998
SS-D,SimAnnealing,40,67.9051
SS-D,SimAnnealing,9,24.9335
SS-D,UCB,15,99.4567
SS-D,UCB,40,228.7994
SS-D,UCB,9,53.5987
SS-E,b2,15,42.0267
SS-E,b2,40,147.2561
SS-E,base,,0.9369
SS-E,bonr,15,47.5022
SS-E,bonr,40,114.0836
SS-E,bonr,9,42.95
SS-E,EI,15,183.2661
SS-E,EI,40,510.488
SS-E,EI,9,149.8557
SS-E,ExpProgressive,15,52.564
SS-E,ExpProgressive,9,52.3778
SS-E,PI,15,182.0251
SS-E,PI,40,405.9637
SS-E,PI,9,141.887
SS-E,progressive,9,60.2359
SS-E,rand,40,1.0766
SS-E,rand,9,1.1411
SS-E,SimAnnealing,15,47.9106
SS-E,SimAnnealing,40,160.8782
SS-E,SimAnnealing,9,46.2488
SS-E,UCB,15,235.7471
SS-E,UCB,40,490.1397
SS-E,UCB,9,141.7206
SS-F,b2,15,25.6608
SS-F,b2,40,60.0848
SS-F,b2,9,16.6085
SS-F,base,,0.4309
SS-F,bonr,15,26.059
SS-F,bonr,40,63.3515
SS-F,bonr,9,17.4888
SS-F,EI,15,99.4831
SS-F,EI,40,223.2668
SS-F,EI,9,57.3731
SS-F,ExpProgressive,15,35.6518
SS-F,ExpProgressive,40,72.6769
SS-F,ExpProgressive,9,26.9856
SS-F,PI,15,88.4154
SS-F,PI,40,213.6809
SS-F,PI,9,51.5595
SS-F,progressive,15,41.2504
SS-F,progressive,40,77.9987
SS-F,progressive,9,31.1527
SS-F,rand,15,0.4981
SS-F,rand,40,0.7544
SS-F,rand,9,0.3928
SS-F,SimAnnealing,15,32.1153
SS-F,SimAnnealing,40,67.1239
SS-F,SimAnnealing,9,22.7591
SS-F,UCB,15,88.4356
SS-F,UCB,40,217.8617
SS-F,UCB,9,54.8374
SS-G,b2,15,27.2537
SS-G,b2,40,65.3173
SS-G,b2,9,19.4777
SS-G,base,,0.2066
SS-G,bonr,15,29.2938
SS-G,bonr,40,70.3388
SS-G,bonr,9,19.7741
SS-G,EI,15,104.5522
SS-G,EI,40,233.2135
SS-G,EI,9,57.7925
SS-G,ExpProgressive,15,39.4331
SS-G,ExpProgressive,40,83.7438
SS-G,ExpProgressive,9,27.3806
SS-G,PI,15,99.3481
SS-G,PI,40,226.6245
SS-G,PI,9,57.2448
SS-G,progressive,40,86.537
SS-G,progressive,9,21.2115
SS-G,rand,15,0.874
SS-G,rand,40,0.6757
SS-G,rand,9,0.4445
SS-G,SimAnnealing,15,32.1381
SS-G,UCB,40,236.7138
SS-G,UCB,9,57.0597
SS-H,b2,15,38.5556
SS-H,b2,40,90.6954
SS-H,b2,9,22.1614
SS-H,base,,0.4192
SS-H,bonr,15,39.2226
SS-H,bonr,40,89.3733
SS-H,bonr,9,23.2861
SS-H,EI,15,129.4005
SS-H,EI,40,281.9007
SS-H,EI,9,72.6004
SS-H,ExpProgressive,15,46.4123
SS-H,ExpProgressive,40,97.9632
SS-H,ExpProgressive,9,27.2158
SS-H,PI,15,121.8008
SS-H,PI,40,286.8953
SS-H,PI,9,72.1214
SS-H,progressive,15,51.8795
SS-H,progressive,40,102.0495
SS-H,progressive,9,37.1911
SS-H,rand,15,0.7136
SS-H,rand,40,0.8502
SS-H,rand,9,0.5714
SS-H,SimAnnealing,15,43.6847
SS-H,SimAnnealing,40,94.4873
SS-H,SimAnnealing,9,26.8371
SS-H,UCB,15,123.4869
SS-H,UCB,40,273.9214
SS-H,UCB,9,69.0661
SS-I,b2,15,106.8934
SS-I,b2,40,220.4887
SS-I,b2,9,64.8517
SS-I,base,,2.1715
SS-I,bonr,15,109.0187
SS-I,bonr,40,223.0701
SS-I,bonr,9,61.1862
SS-I,EI,15,309.6412
SS-I,EI,40,585.8438
SS-I,EI,9,182.982
SS-I,ExpProgressive,15,112.1734
SS-I,ExpProgressive,40,235.0527
SS-I,ExpProgressive,9,69.932
SS-I,PI,15,288.8494
SS-I,PI,40,594.615
SS-I,PI,9,179.4868
SS-I,progressive,15,118.8921
SS-I,progressive,40,239.7611
SS-I,progressive,9,73.5691
SS-I,rand,15,2.9706
SS-I,rand,40,2.4734
SS-I,rand,9,2.7939
SS-I,SimAnnealing,15,110.2623
SS-I,SimAnnealing,40,226.7216
SS-I,SimAnnealing,9,68.7056
SS-I,UCB,15,285.8637
SS-I,UCB,40,591.4403
SS-I,UCB,9,183.8479
SS-J,b2,15,203.4133
SS-J,b2,40,494.8753
SS-J,b2,9,101.4007
SS-J,base,,4.1351
SS-J,bonr,15,205.2839
